i, j, d
0, 1, 0.0610261977556
0, 2, 0.0275881126373
0, 3, 0.0223854224025
0, 4, 0.0360222682582
0, 5, 0.0371168892218
0, 6, 0.0377251344809
0, 7, 0.0375437412264
0, 8, 0.0450078904678
0, 9, 0.0331399740332
0, 10, 0.0352075474622
0, 11, 0.0346964633891
0, 12, 0.0359284598912
0, 13, 0.0351082093765
0, 14, 0.031813876914
0, 15, 0.0286910376288
0, 16, 0.038267746454
0, 17, 0.0376474567406
0, 18, 0.0367437321955
0, 19, 0.0318227995824
0, 20, 0.0307517561295
0, 21, 0.0284122260107
0, 22, 0.0407479417377
0, 23, 0.0375591599488
0, 24, 0.0318119906131
0, 25, 0.035892805172
0, 26, 0.0319400978666
0, 27, 0.0359769377495
0, 28, 0.0312609225006
0, 29, 0.0402449556513
0, 30, 0.0402553776114
0, 31, 0.0365954089727
0, 32, 0.0203729184398
0, 33, 0.0306177794732
0, 34, 0.038845524854
0, 35, 0.0293041556847
0, 36, 0.0382917347417
0, 37, 0.0301177377844
0, 38, 0.0179230557024
0, 39, 0.0349475072734
0, 40, 0.0246110247
0, 41, 0.0193274385903
0, 42, 0.0352234551227
0, 43, 0.0359753533655
0, 44, 0.038871962592
0, 45, 0.030494870359
0, 46, 0.017894695876
0, 47, 0.0186185000557
0, 48, 0.0341116164026
0, 49, 0.0341520931938
0, 50, 0.0284670279325
0, 51, 0.0313749614481
0, 52, 0.0351988991196
0, 53, 0.0183119252304
0, 54, 0.0387992499982
0, 55, 0.0402135481627
0, 56, 0.0308761416568
0, 57, 0.0350409109651
0, 58, 0.0374916086569
0, 59, 0.0331374068976
0, 60, 0.0287967822746
0, 61, 0.0377965056134
0, 62, 0.0285779265438
0, 63, 0.0405062170054
0, 64, 0.0359445234641
0, 65, 0.0321249504229
0, 66, 0.033677350342
0, 67, 0.0326534715005
0, 68, 0.0310890267984
0, 69, 0.0315154913522
0, 70, 0.0352266569934
0, 71, 0.0355741458143
0, 72, 0.0389406184574
0, 73, 0.0331970422787
0, 74, 0.0363370556347
0, 75, 0.0318166132372
0, 76, 0.032653135149
0, 77, 0.0363329560979
0, 78, 0.0332533255885
0, 79, 0.0305231380772
0, 80, 0.0318103434421
0, 81, 0.0312741653667
0, 82, 0.0305532306531
0, 83, 0.034091899284
0, 84, 0.0333931790166
0, 85, 0.0321155502385
0, 86, 0.0342274667842
0, 87, 0.0306064346948
0, 88, 0.038628204269
0, 89, 0.0362907081614
0, 90, 0.0388075043708
0, 91, 0.0399635864497
0, 92, 0.0309044540859
0, 93, 0.0361995522724
0, 94, 0.0323126926852
0, 95, 0.0338815039094
0, 96, 0.0350989820697
0, 97, 0.0352024577221
0, 98, 0.0381667479749
0, 99, 0.0298237143399
0, 100, 0.0380442872189
0, 101, 0.028274555066
0, 102, 0.0399270405263
0, 103, 0.0296849012559
0, 104, 0.0511672690015
0, 105, 0.0366885715747
0, 106, 0.0184142619023
0, 107, 0.0343483160173
0, 108, 0.0306357759224
0, 109, 0.0269995470611
0, 110, 0.0382764882987
0, 111, 0.0385327593248
0, 112, 0.0242816796418
0, 113, 0.0326547827249
0, 114, 0.0249068278704
0, 115, 0.0185010368826
0, 116, 0.0382994519856
0, 117, 0.0409913096538
0, 118, 0.042022382333
0, 119, 0.0350109140822
0, 120, 0.0398245881762
0, 121, 0.0345456474261
0, 122, 0.0362755146044
0, 123, 0.0373017806958
0, 124, 0.034473882972
0, 125, 0.0410271480797
0, 126, 0.0327607927088
0, 127, 0.0365389296613
0, 128, 0.035081265961
0, 129, 0.0296888625386
0, 130, 0.0322927687723
0, 131, 0.0195811261092
0, 132, 0.036296384604
0, 133, 0.0324460438114
0, 134, 0.0350653332874
0, 135, 0.0360642881247
0, 136, 0.0350205429813
0, 137, 0.0335263654705
0, 138, 0.030335771285
0, 139, 0.0417707222338
0, 140, 0.0345356043685
0, 141, 0.0297832717068
0, 142, 0.0286952272362
0, 143, 0.0190274680051
0, 144, 0.0358256581894
0, 145, 0.0371936265952
0, 146, 0.0304651426113
0, 147, 0.0311145319419
0, 148, 0.0185588867433
0, 149, 0.0328347094301
0, 150, 0.0378824247107
0, 151, 0.0378493473606
0, 152, 0.0373116578304
0, 153, 0.0323084050827
0, 154, 0.0443262695455
0, 155, 0.0349560447227
0, 156, 0.0325677279854
0, 157, 0.0337301283572
0, 158, 0.0327772239302
0, 159, 0.0363412874894
0, 160, 0.0352262929859
0, 161, 0.0320924448935
0, 162, 0.0206370026813
0, 163, 0.0289406259338
0, 164, 0.0215044513091
0, 165, 0.0325543418854
0, 166, 0.0346053816497
0, 167, 0.018073877456
0, 168, 0.0379526860654
0, 169, 0.0181327104557
0, 170, 0.0333242615906
0, 171, 0.0324537558928
0, 172, 0.0324730155525
0, 173, 0.0384416386938
0, 174, 0.0323668251512
0, 175, 0.0366320605493
0, 176, 0.0206416780854
0, 177, 0.0206081824116
0, 178, 0.0349483488527
0, 179, 0.0357744007053
0, 180, 0.0253819563667
0, 181, 0.0324476841925
0, 182, 0.0377308905439
0, 183, 0.0285067399355
0, 184, 0.0345338639496
0, 185, 0.0357160598285
0, 186, 0.0197374735776
0, 187, 0.0321095888073
0, 188, 0.0341602337534
0, 189, 0.0363032519431
0, 190, 0.0381123164569
0, 191, 0.0342492163388
0, 192, 0.0309855962974
0, 193, 0.0345860096959
0, 194, 0.0391185304634
0, 195, 0.0341149627587
0, 196, 0.0345059946862
0, 197, 0.0323946995851
0, 198, 0.0303441804113
0, 199, 0.0312593052236
0, 200, 0.034951924671
0, 201, 0.0471611392847
0, 202, 0.0341535722615
0, 203, 0.0195131217617
0, 204, 0.0313742199283
0, 205, 0.0303800592566
0, 206, 0.0184874502024
0, 207, 0.033173268207
0, 208, 0.0371529353264
0, 209, 0.0231038018494
0, 210, 0.0202383956529
0, 211, 0.0320742511331
0, 212, 0.0375264756937
0, 213, 0.0340008550948
0, 214, 0.0360896661002
0, 215, 0.0409215130474
0, 216, 0.0365224251626
0, 217, 0.0217465426797
0, 218, 0.035145202928
0, 219, 0.027962212833
0, 220, 0.0331366380041
0, 221, 0.0320224322883
0, 222, 0.0326870636052
0, 223, 0.0255683500023
0, 224, 0.0381443205864
0, 225, 0.0349746464279
0, 226, 0.0321264623386
0, 227, 0.0299250785491
0, 228, 0.0373809038781
0, 229, 0.0318861631056
0, 230, 0.0195579088235
0, 231, 0.0336187602879
0, 232, 0.0199604249231
0, 233, 0.0374188321021
0, 234, 0.02739340478
0, 235, 0.0289983533484
0, 236, 0.0226029158005
0, 237, 0.0181983188429
0, 238, 0.0373819546228
0, 239, 0.0323864323424
0, 240, 0.0385719208885
0, 241, 0.0303675142993
0, 242, 0.0338750916326
0, 243, 0.0342838834973
0, 244, 0.0348282330946
0, 245, 0.0290059107393
0, 246, 0.0342494889826
0, 247, 0.0203922977441
0, 248, 0.0314488707196
0, 249, 0.0302284494187
0, 250, 0.0198660485445
0, 251, 0.029023387021
0, 252, 0.0355799299388
0, 253, 0.0321076000443
0, 254, 0.0349725201123
0, 255, 0.0319103923343
0, 256, 0.035421097982
0, 257, 0.0190200591138
0, 258, 0.03401019238
0, 259, 0.0311588891368
0, 260, 0.0198445397284
0, 261, 0.0385213361896
0, 262, 0.0330998661033
0, 263, 0.0363670456103
0, 264, 0.019890513672
0, 265, 0.0315143124695
0, 266, 0.03148246972
0, 267, 0.0329949846256
0, 268, 0.0311846641335
0, 269, 0.0201892118099
0, 270, 0.0244115247316
0, 271, 0.113964254416
0, 272, 0.03239437669
0, 273, 0.0313036338308
0, 274, 0.0284252218861
0, 275, 0.0404648456492
0, 276, 0.0321429542483
0, 277, 0.0385626790478
0, 278, 0.0337445353614
0, 279, 0.0352555664246
0, 280, 0.0213605468311
0, 281, 0.0322649913336
0, 282, 0.0297263993004
0, 283, 0.0232413550858
0, 284, 0.0349518307176
0, 285, 0.0302993078886
0, 286, 0.0345925213045
0, 287, 0.0340337829778
0, 288, 0.0269313836166
0, 289, 0.0376807925507
0, 290, 0.0332376281407
0, 291, 0.0311250132161
0, 292, 0.0359901048394
0, 293, 0.0315092336432
0, 294, 0.0295810774163
0, 295, 0.0421428136196
0, 296, 0.0372126660182
0, 297, 0.0347274447459
0, 298, 0.0310520210612
0, 299, 0.0200964814082
0, 300, 0.0379353983769
0, 301, 0.0368562826235
0, 302, 0.0365736191299
0, 303, 0.0331345983824
0, 304, 0.0216035770594
0, 305, 0.035169977829
0, 306, 0.0363006107957
0, 307, 0.0307001846627
0, 308, 0.033798137761
0, 309, 0.0205959360038
0, 310, 0.0219697188538
0, 311, 0.0360665845247
0, 312, 0.0342207595218
0, 313, 0.0190983939748
0, 314, 0.0449525353947
0, 315, 0.036533946946
0, 316, 0.0328627259998
0, 317, 0.0209019809621
0, 318, 0.0218874597235
0, 319, 0.037238473413
0, 320, 0.0361606327329
0, 321, 0.0338609087177
0, 322, 0.0367388884401
0, 323, 0.0214551696626
0, 324, 0.0309001386756
0, 325, 0.0391235529865
0, 326, 0.0432892733571
0, 327, 0.0209443233006
0, 328, 0.036627486448
0, 329, 0.0375356063782
0, 330, 0.0345178076811
0, 331, 0.0352120575228
0, 332, 0.0204667907922
0, 333, 0.0206155712479
0, 334, 0.0331024778325
0, 335, 0.0310644456129
0, 336, 0.0345832096909
0, 337, 0.0319144446704
0, 338, 0.0372722790238
0, 339, 0.031662248807
0, 340, 0.0368933618539
0, 341, 0.0358040298909
0, 342, 0.0329208519813
0, 343, 0.0330079640532
0, 344, 0.0347289197981
0, 345, 0.0314391610873
0, 346, 0.0320951764908
0, 347, 0.0395931055411
0, 348, 0.0202475583354
0, 349, 0.021288269355
0, 350, 0.0343325229652
0, 351, 0.0345773491765
0, 352, 0.0383616643178
0, 353, 0.0403572085131
0, 354, 0.0283855222742
0, 355, 0.0321857779962
0, 356, 0.0324008285938
0, 357, 0.107257675631
0, 358, 0.0229081360316
0, 359, 0.0248550658095
0, 360, 0.0311928857399
0, 361, 0.0316657367521
0, 362, 0.0372783958005
0, 363, 0.0345650512403
0, 364, 0.02097530206
0, 365, 0.0196089997981
0, 366, 0.0335501751115
0, 367, 0.0212256523141
0, 368, 0.039893888285
0, 369, 0.0194277130254
0, 370, 0.031358901376
0, 371, 0.0225818575243
0, 372, 0.0208063439766
0, 373, 0.0197375444858
0, 374, 0.0221995823707
0, 375, 0.0316466946972
0, 376, 0.0193027432932
0, 377, 0.0360062045449
0, 378, 0.0229435585561
0, 379, 0.0865551467304
0, 380, 0.0318940019638
0, 381, 0.029871111406
0, 382, 0.0350618551587
0, 383, 0.0207930633048
0, 384, 0.0190589764914
0, 385, 0.0279770000041
0, 386, 0.0340693810586
0, 387, 0.0305605438547
0, 388, 0.0330858372493
0, 389, 0.0208767945726
0, 390, 0.0193760931024
0, 391, 0.0329635107607
0, 392, 0.0313890371442
0, 393, 0.0190588325114
0, 394, 0.0291700984391
0, 395, 0.0366060952082
0, 396, 0.0438978410159
0, 397, 0.0199203306657
0, 398, 0.0218950823637
0, 399, 0.0198841612017
0, 400, 0.0213012432081
0, 401, 0.0330351950281
0, 402, 0.0340147485856
0, 403, 0.0204045168953
0, 404, 0.026392667599
0, 405, 0.0234468350248
0, 406, 0.0276281768518
