,rec,idx,x,y,w,h,t0,f0,t1,f1,mux,muy,Sxx,Syy,Sxy,x_max,y_max,Cov,dur,bw,tod,site
8612,sabana_seca1-2013-06-26_04-30.flac,245,5336,166,13,15,28.4637170015,7190.6614786,28.5277283591,8498.05447471,0.0256934676955,7764.32545183,9.47392381072e-05,51222.6481275,0.195965450513,0.0213371191916,7657.58754864,0.916666666667,0.0640113575747,1307.39299611,4,1
14150,sabana_seca1-2013-05-05_16-00.flac,113,2496,167,12,11,13.3143623755,7470.81712062,13.3730394533,8404.6692607,0.0270076884968,7830.91511063,0.000197692070799,86281.6615081,0.219718248883,0.0266713989894,7470.81712062,0.381818181818,0.0586770777768,933.852140078,16,1
25275,sabana_seca1-2013-06-06_03-10.flac,120,11069,165,14,15,59.0451430828,7284.04669261,59.1144887202,8591.43968872,0.0277075495349,7811.21355658,0.00010912815566,52992.2173696,0.613918313218,0.0213371191916,7750.97276265,0.884615384615,0.0693456373726,1307.39299611,3,1
18268,sabana_seca1-2012-11-06_03-20.flac,232,7385,173,11,11,39.3936563074,6910.50583658,39.4469991054,7844.35797665,0.0239797637961,7340.61849652,9.91657977063e-05,53037.7211313,0.808781100155,0.0213371191916,7377.43190661,0.94,0.0533427979789,933.852140078,3,1
1592,sabana_seca1-2013-04-20_15-50.flac,79,2434,171,11,10,12.9836370281,7190.6614786,13.036979826,8031.12840467,0.0247056707255,7505.96565944,0.000219916617433,42414.8062551,0.393943069438,0.0266713989894,7564.20233463,0.7,0.0533427979789,840.46692607,15,1
15674,sabana_seca1-2014-02-05_03-50.flac,146,7676,172,10,8,40.9459317286,7284.04669261,40.9939402468,7937.74319066,0.0207451929904,7537.35083568,8.95073722622e-05,31600.8776336,0.352798350647,0.0160028393937,7284.04669261,0.968253968254,0.048008518181,653.696498054,3,1
4626,sabana_seca1-2011-04-23_19-40.flac,406,1675,169,11,11,8.93491866147,7284.04669261,8.98826145944,8217.89883268,0.0191279188485,7669.45713627,0.000142234274948,35530.2749812,-0.11443948431,0.0213371191916,7657.58754864,0.92,0.0533427979789,933.852140078,19,1
24553,sabana_seca1-2012-09-05_22-30.flac,404,6690,168,7,7,35.6863318479,7750.97276265,35.7183375267,8311.28404669,0.0125790541342,7913.8484387,9.72621521764e-05,19980.8819096,0.189634217948,0.0,7750.97276265,1.0,0.0320056787873,560.311284047,22,1
28436,sabana_seca1-2011-09-28_06-40.flac,59,7812,167,10,9,41.6713937811,7657.58754864,41.7194022993,8404.6692607,0.0229023101291,7923.57469526,0.000117795415842,27057.7324875,0.151557694369,0.0160028393937,7844.35797665,1.0,0.048008518181,747.081712062,6,1
12568,sabana_seca1-2009-08-04_23-00.flac,324,1702,165,13,14,9.07894421601,7377.43190661,9.14295557358,8591.43968872,0.0262238873155,7812.14009608,0.00010257152115,52424.4136387,0.538452267009,0.0213371191916,7750.97276265,0.833333333333,0.0640113575747,1214.0077821,23,1
